round,bot1,bot2,score1,score2,apple1,apple2,time
688,1,2,0,1,5,15,39.499
689,1,2,0,1,8,18,44.017
690,1,2,0,1,10,20,62.307
691,1,2,1,0,6,12,37.136
692,1,2,1,0,3,9,21.253
693,1,2,0,1,3,3,11.328
694,1,2,0,1,6,12,33.525
695,1,2,0,1,7,14,38.787
696,1,2,0,1,18,13,65.15
697,1,2,0,1,3,10,20.025
698,1,2,0,1,4,9,26.311
699,1,2,0,1,2,6,13.54
700,1,2,0,1,10,9,40.34
701,1,2,0,1,4,5,18.252
702,1,2,0,1,1,1,7.107
703,1,2,1,0,7,13,42.771
704,1,2,0,1,5,6,21.613
705,1,2,0,1,13,15,58.445
706,1,2,0,1,13,16,56.549
707,1,2,0,1,1,7,14.143
708,1,2,0,1,7,8,36.282
709,1,2,0,1,6,9,30.459
710,1,2,0,1,13,19,65.761
711,1,2,0,1,11,27,84.162
712,1,2,0,1,10,18,50.669
713,1,2,1,0,4,5,14.377
714,1,2,0,1,11,9,38.533
715,1,2,0,1,11,10,44.425
716,1,2,0,1,15,12,54.458
717,1,2,1,0,10,19,48.021
718,1,2,0,1,6,6,22.825
719,1,2,0,1,7,7,49.051
720,1,2,0,1,21,21,80.943
721,1,2,0,1,18,15,54.138
722,1,2,0,1,7,15,37.261
723,1,2,1,0,10,11,41.64
724,1,2,0,1,7,19,51.467
725,1,2,1,0,16,14,62.324
726,1,2,0,1,2,6,16.55
727,1,2,0,1,12,23,71.019
728,1,2,1,0,6,19,39.831
729,1,2,0,1,6,5,20.005
730,1,2,0,1,11,12,48.604
731,1,2,0,1,5,4,25.63
732,1,2,1,0,7,6,34.689
733,1,2,0,1,13,15,47.442
734,1,2,0,1,10,16,55.298
735,1,2,0,1,9,17,42.518
736,1,2,0,1,3,13,28.464
737,1,2,0,1,11,11,46.803
738,1,2,0,1,13,21,67.623
739,1,2,0,1,9,10,29.104
740,1,2,0,1,5,20,47.056
741,1,2,0,1,11,14,40.762
742,1,2,1,0,6,10,37.176
743,1,2,0,1,3,4,16.178
744,1,2,0,1,3,8,24.685
745,1,2,0,1,15,13,49.646
746,1,2,1,0,1,0,3.267
747,1,2,0,1,0,5,12.504
748,1,2,0,1,4,7,24.453
749,1,2,0,1,9,18,59.149
750,1,2,0,1,1,5,13.534
751,1,2,0,1,16,22,84.926
752,1,2,0,1,13,13,43.977
753,1,2,0,1,11,11,38.582
754,1,2,0,1,11,15,57.66
755,1,2,0,1,13,15,61.404
756,1,2,0,1,8,8,36.522
757,1,2,0,1,5,2,12.349
758,1,2,0,1,15,22,72.675
759,1,2,0,1,4,3,20.809
760,1,2,0,1,8,11,43.932
761,1,2,0,1,7,12,31.701
762,1,2,0,1,8,17,48.9
763,1,2,0,1,11,21,59.939
764,1,2,0,1,9,2,19.375
765,1,2,1,0,7,21,48.65
766,1,2,1,0,16,12,69.028
767,1,2,0,1,9,11,43.603
768,1,2,0,1,17,16,64.362
769,1,2,0,1,8,5,29.25
770,1,2,0,1,2,6,21.802
771,1,2,1,0,11,8,41.39
772,1,2,1,0,6,8,20.797
773,1,2,0,1,4,12,33.511
774,1,2,0,1,2,1,10.139
775,1,2,1,0,4,4,15.761
776,1,2,0,1,8,7,27.888
777,1,2,1,0,17,23,72.958
778,1,2,0,1,4,5,17.592
779,1,2,0,1,11,7,49.443
780,1,2,0,1,2,4,12.149
781,1,2,1,0,1,0,3.281
782,1,2,0,1,1,6,11.353
783,1,2,1,0,15,20,69.146
784,1,2,0,1,15,11,38.532
785,1,2,0,1,4,6,26.654
786,1,2,0,1,15,11,59.058
787,1,2,0,1,5,15,43.83
788,1,2,0,1,13,15,53.568
789,1,2,0,1,6,3,12.709
790,1,2,0,1,19,25,85.919
791,1,2,0,1,2,4,9.711
792,1,2,0,1,7,10,31.935
793,1,2,0,1,5,6,18.416
794,1,2,0,1,3,7,17.381
795,1,2,0,1,8,9,48.995
796,1,2,0,1,12,13,65.746
797,1,2,0,1,8,7,29.934
798,1,2,0,1,4,1,13.541
799,1,2,1,0,9,6,28.652
800,1,2,1,0,9,15,50.829
801,1,2,0,1,13,18,59.679
802,1,2,0,1,1,5,21.632
803,1,2,0,1,8,10,34.559
804,1,2,0,1,13,15,56.336
805,1,2,0,1,8,9,33.541
806,1,2,0,1,5,5,28.021
807,1,2,0,1,5,5,15.572
808,1,2,0,1,17,20,85.49
809,1,2,0,1,2,1,9.529
810,1,2,0,1,9,9,33.069
811,1,2,0,1,7,5,32.938
812,1,2,0,1,3,7,17.168
813,1,2,0,1,3,3,14.944
814,1,2,0,1,16,16,71.619
815,1,2,0,1,6,8,27.234
816,1,2,0,1,3,7,14.523
817,1,2,0,1,3,6,21.633
818,1,2,0,1,9,10,44.827
819,1,2,0,1,3,5,18.8
820,1,2,0,1,8,6,24.018
821,1,2,0,1,3,8,21.476
822,1,2,1,0,13,10,38.525
823,1,2,0,1,1,3,9.544
824,1,2,0,1,2,7,20.207
825,1,2,1,0,10,17,43.986
826,1,2,0,1,3,11,25.045
827,1,2,0,1,14,13,39.92
828,1,2,0,1,15,10,55.854
829,1,2,1,0,4,8,24.842
830,1,2,0,1,19,18,67.564
831,1,2,0,1,1,4,6.088
832,1,2,1,0,1,1,4.895
833,1,2,0,1,3,7,21.204
834,1,2,0,1,2,6,12.712
835,1,2,0,1,11,14,39.225
836,1,2,0,1,9,5,35.365
837,1,2,0,1,19,15,62.933
838,1,2,0,1,3,7,19.651
839,1,2,0,1,2,7,16.972
840,1,2,0,1,4,10,24.027
841,1,2,0,1,13,18,59.724
842,1,2,0,1,6,9,25.45
843,1,2,0,1,4,4,20.614
844,1,2,0,1,2,13,30.42
845,1,2,0,1,12,22,56.665
846,1,2,0,1,8,17,41.8
847,1,2,0,1,10,13,49.681
848,1,2,0,1,4,6,26.051
849,1,2,0,1,7,11,27.485
850,1,2,0,1,13,16,51.646
851,1,2,0,1,4,5,23.399
852,1,2,0,1,7,24,67.409
853,1,2,0,1,11,13,47.258
854,1,2,0,1,11,17,59.762
855,1,2,0,1,11,21,51.102
856,1,2,0,1,9,5,25.442
857,1,2,0,1,12,12,48.399
858,1,2,0,1,9,3,20.806
859,1,2,0,1,9,10,40.94
860,1,2,1,0,9,11,34.263
861,1,2,1,0,13,12,41.942
862,1,2,0,1,10,16,51.287
863,1,2,0,1,1,7,14.948
864,1,2,0,1,14,24,94.15
865,1,2,0,1,5,8,24.28
866,1,2,0,1,10,9,49.035
867,1,2,0,1,11,18,54.431
868,1,2,1,0,5,2,17.124
869,1,2,0,1,14,14,77.956
870,1,2,0,1,6,17,46.038
871,1,2,0,1,11,14,54.325
872,1,2,0,1,1,7,20.367
873,1,2,0,1,15,9,44.027
874,1,2,0,1,2,6,22.4
875,1,2,0,1,12,10,37.339
876,1,2,0,1,13,12,56.099
877,1,2,0,1,15,17,79.013
878,1,2,0,1,6,2,23.655
879,1,2,0,0,9,9,29.658
880,1,2,1,0,12,14,49.871
881,1,2,0,1,1,8,24.663
882,1,2,0,1,8,4,34.185
883,1,2,0,1,6,11,30.293
884,1,2,0,1,4,2,10.316
885,1,2,0,1,4,8,19.413
886,1,2,0,1,5,11,31.896
887,1,2,0,1,0,3,10.74
888,1,2,0,1,18,23,92.779
889,1,2,0,1,6,9,24.222
890,1,2,0,1,5,16,41.587
891,1,2,0,1,11,10,40.804
892,1,2,0,1,6,7,31.098
893,1,2,0,1,19,9,52.097
894,1,2,0,1,13,17,70.819
895,1,2,1,0,10,15,47.041
896,1,2,1,0,13,9,43.403
897,1,2,0,1,3,10,29.476
898,1,2,0,1,8,12,49.883
899,1,2,1,0,9,9,31.935
900,1,2,0,1,6,9,30.5
901,1,2,0,1,11,22,59.784
902,1,2,0,1,4,11,21.591
903,1,2,0,1,10,8,29.899
904,1,2,0,1,3,11,31.165
905,1,2,0,1,3,5,18.983
906,1,2,0,1,6,13,37.613
907,1,2,0,1,6,6,19.399
908,1,2,0,1,9,11,41.364
909,1,2,0,1,4,7,29.923
910,1,2,0,1,9,14,44.204
911,1,2,0,1,0,2,4.88
912,1,2,0,1,8,17,60.522
913,1,2,0,1,3,4,13.962
914,1,2,0,1,13,14,60.719
915,1,2,0,1,10,13,44.657
916,1,2,0,1,10,16,57.938
917,1,2,0,1,9,8,34.522
918,1,2,0,1,4,9,26.801
919,1,2,1,0,1,0,3.25
920,1,2,1,0,10,14,47.217
921,1,2,0,1,2,3,8.295
922,1,2,0,1,1,2,4.867
923,1,2,0,1,20,18,74.339
924,1,2,0,1,1,5,9.692
925,1,2,0,1,12,11,52.731
926,1,2,0,1,13,14,59.362
927,1,2,0,1,3,6,21.586
928,1,2,0,1,16,20,71.0
929,1,2,0,1,15,14,63.504
930,1,2,0,1,11,10,37.151
931,1,2,0,1,12,15,48.415
932,1,2,0,1,16,16,68.577
933,1,2,0,1,1,7,19.84
934,1,2,1,0,19,20,77.048
935,1,2,0,1,7,9,33.324
936,1,2,0,1,9,22,68.665
937,1,2,1,0,10,19,47.02
938,1,2,0,1,6,15,40.201
939,1,2,0,1,11,19,54.822
940,1,2,0,1,7,21,69.549
941,1,2,0,1,9,8,30.899
942,1,2,1,0,3,1,7.093
943,1,2,0,1,2,9,19.976
944,1,2,0,1,3,3,9.932
